pre,suff,count
shit,burger,2014
shit,cake,3175
shit,nugget,999
shit,rag,7295
shit,nozzle,237
shit,stain,92128.225
shit,wagon,1083
shit,weed,392
shit,hat,230
shit,canoe,113
shit,boat,345
shit,stick,4073
shit,socket,13
shit,trumpet,12
shit,mitten,14
shit,twat,22
shit,dick,6999
shit,cunt,15170
shit,ass,14514
shit,cock,3034
shit,balls,36333
shit,face,14900
shit,head,450560.22500000003
shit,nuts,554
shit,brain,2678
shit,brains,1508
shit,knuckle,96
shit,mouth,2640
shit,nose,128
shit,skull,160
shit,tard,974
shit,oid,10
shit,ster,567
shit,azoid,6
shit,let,414
shit,fuck,15540
shit,shit,617
shit,fart,270
shit,wit,1525
shit,lib,21815
shit,breath,579
crap,wad,28
crap,bag,1224
crap,bucket,95
crap,sack,4698
crap,ball,63
crap,splash,2
crap,pot,21
crap,pile,79
crap,weasel,210
crap,monkey,13
crap,dog,10
crap,rat,5
crap,bird,9
crap,goblin,5
crap,puffin,0
crap,licker,4
crap,muncher,9
crap,fucker,2
crap,sucker,9
crap,lord,88
crap,clown,2
crap,slut,1
crap,pirate,0
crap,bro,1
crap,nazi,0
crap,whore,0
crap,boy,9
crap,boi,1
crap,burglar,2
crap,bandit,0
crap,bitch,1
crap,waffle,342
crap,burger,44
crap,cake,147
crap,nugget,21
crap,rag,14
crap,nozzle,0
crap,stain,191
crap,wagon,278
crap,weed,14
crap,hat,63
crap,canoe,0
crap,boat,10
crap,stick,122
crap,socket,1
crap,trumpet,0
crap,mitten,1
crap,twat,3
crap,dick,15
crap,cunt,10
crap,ass,737
crap,cock,5
crap,balls,829
crap,face,364
crap,head,499
crap,nuts,49
crap,brain,3
crap,brains,2
crap,knuckle,4
crap,mouth,20
crap,nose,4
crap,skull,1
crap,tard,103
crap,oid,14
crap,ster,131
crap,azoid,34
crap,let,81
crap,fuck,108
crap,shit,590
crap,fart,6
crap,wit,8
crap,lib,4
crap,breath,1
poop,wad,17
poop,bag,189
poop,bucket,68
poop,sack,346
poop,ball,306
poop,splash,32
poop,pot,1
poop,pile,7
poop,weasel,9
poop,monkey,12
poop,dog,139
poop,rat,142
poop,bird,28
poop,goblin,9
poop,puffin,0
poop,licker,67
poop,muncher,5
poop,fucker,28
poop,sucker,29
